"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"San Francisco Art Institute","800 Chestnut St, San Francisco, California 94133-2299","www.sfai.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","381","275","43%","NA","Fall 2012","$47,947","-","122454","00394800"
"San Francisco Conservatory of Music","50 Oak Street, San Francisco, California 94102-6011","https://sfcm.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Large","Yes","398","221","58%","NA","Fall 2012","$39,799","-","122506","00127800"
"San Francisco State University","1600 Holloway Ave, San Francisco, California 94132","www.sfsu.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","29778","26531","55%","5%","Fall 2012","$14,964","-","122597","00115400"
"San Francisco Theological Seminary","105 Seminary Road, San Anselmo, California 94960-0000","www.sfts.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","Suburb: Large","Yes","101","","NA","NA","Fall 2012","NA","-","122603","00127900"
"San Joaquin College of Law","901 Fifth St, Clovis, California 93612-1312","www.sjcl.edu","4-year, Private not-for-profit","Doctor's degree - professional practice","Suburb: Large","No","169","","NA","NA","Fall 2012","NA","-","122649","02500000"
"San Jose State University","One Washington Square, San Jose, California 95192-0001","www.sjsu.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree","City: Large","Yes","35400","27327","65%","4%","Fall 2012","$14,519","-","122755","00115500"
"Sanford Burnham Prebys Medical Discovery Institute","10901 North Torrey Pines Road, La Jolla, California 92037-1005","www.sbpdiscovery.org/graduateschool","4-year, Private not-for-profit","Doctor's degree - research/scholarship","City: Large","No","32","","NA","NA","Fall 2012","NA","-","481535","04220600"
"Santa Ana College","1530 W. 17th Street, Santa Ana, California 92706-3398","www.sac.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","28425","28425","24%","11%","Fall 2012","$6,683","-","121619","00128400"
"Santa Clara University","500 El Camino Real, Santa Clara, California 95053","www.scu.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","8642","5520","91%","NA","Fall 2012","$41,545","-","122931","00132600"
"Santa Monica College","1900 Pico Blvd, Santa Monica, California 90405-1628","www.smc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","28800","28800","28%","20%","Fall 2012","$6,227","-","122977","00128600"
"Saybrook University","475 14th St, Oakland, California 94612-1943","www.saybrook.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","687","","NA","NA","Fall 2012","NA","-","123095","02120600"
"School of Architecture at Taliesin","12621 N. Frank Lloyd Wright Blvd, Scottsdale, Arizona 85259","www.taliesin.edu","4-year, Private not-for-profit","Master's degree","Rural: Fringe","Yes","19","","NA","NA","Fall 2012","NA","-","104665","02533200"
"Scripps College","1030 North Columbia Avenue, Claremont, California 91711-3905","www.scrippscollege.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate","Suburb: Large","Yes","1071","1052","88%","NA","Fall 2012","$39,070","-","123165","00117400"
"Selma University","1501 Lapsley St, Dinkins Hall, Selma, Alabama 36701","selmauniversity.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","","","2%","36%","Fall 2012","$13,586","-","102058","04067300"
"Shasta Bible College and Graduate School","2951 Goodwater Ave., Redding, California 96002","www.shasta.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Master's degree","City: Small","Yes","52","38","17%","33%","Fall 2012","$11,693","-","123280","02359300"
"Shasta College","11555 Old Oregon Trail, Redding, California 96003","www.shastacollege.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Midsize","Yes","9105","9105","20%","14%","Fall 2012","$6,112","-","123299","00128900"
"Simpson University","2211 College View Drive, Redding, California 96003-8606","www.simpsonu.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Small","Yes","834","720","60%","31%","Fall 2012","$28,482","-","123457","00129100"
"Skyline College","3300 College Dr, San Bruno, California 94066-1698","skylinecollege.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","9014","9014","35%","7%","Fall 2012","$4,403","-","123509","00771300"
"Soka University of America","1 University Drive, Aliso Viejo, California 92656-8081","www.soka.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Large","Yes","442","428","90%","NA","Fall 2012","$14,739","-","399911","03814400"
"Solano Community College","4000 Suisun Valley Rd, Fairfield, California 94534-3197","www.solano.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Midsize","No","9378","9378","28%","9%","Fall 2012","$8,495","-","123563","00129200"
"Sonoma State University","1801 E Cotati Ave, Rohnert Park, California 94928-3609","www.sonoma.edu","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate","Suburb: Large","Yes","9459","8682","63%","5%","Fall 2012","$16,119","-","123572","00115600"
"South Baylo University","1126 N Brookhurst St, Anaheim, California 92801-1701","www.southbaylo.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Large","No","410","","NA","NA","Fall 2012","NA","-","123633","02597300"
"Southern Arkansas University Main Campus","100 E. University, Magnolia, Arkansas 71753","https://www.saumag.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","Yes","4472","3543","41%","38%","Fall 2012","$13,203","-","107983","00110700"
"Southern California Institute of Architecture","960 E. 3rd Street, Los Angeles, California 90013-1822","www.sciarc.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","No","506","255","85%","NA","Fall 2012","$35,236","-","123952","02075800"
"Southern California Seminary","2075 E. Madison Avenue, El Cajon, California 92019-1108","www.socalsem.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - professional practice","Suburb: Large","Yes","197","50","33%","33%","Fall 2012","NA","-","117575","03332300"
"Southern California University of Health Sciences","16200 East Amber Valley Drive, Whittier, California 90604","www.scuhs.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Master's degree|Doctor's degree - professional practice","Suburb: Large","No","1211","654","NA","NA","Fall 2012","$16,082","-","117672","00122900"
"Southern Connecticut State University","501 Crescent Street, New Haven, Connecticut 06515-1355","www.southernct.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","10050","8122","51%","14%","Fall 2012","$17,389","-","130493","00140600"
"Southwest College of Naturopathic Medicine & Health Sciences","2140 E Broadway Rd, Tempe, Arizona 85282","www.scnm.edu","4-year, Private not-for-profit","Doctor's degree - professional practice","City: Midsize","No","360","","NA","NA","Fall 2012","NA","-","420246","03107000"
"Southwestern Law School","3050 Wilshire Boulevard, Los Angeles, California 90010-1106","www.swlaw.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Large","Yes","734","","NA","NA","Fall 2012","NA","-","123970","00129500"
"Spring Hill College","4000 Dauphin St, Mobile, Alabama 36608-1791","www.shc.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Midsize","Yes","1379","1254","59%","32%","Fall 2012","$19,779","-","102234","00104100"
"St John's Seminary","5012 Seminary Rd, Camarillo, California 93012-2500","www.stjohnsem.edu","4-year, Private not-for-profit","Master's degree","Rural: Fringe","Yes","106","","NA","NA","Fall 2012","NA","-","123855","00129900"
"Stanford University","Stanford, California 94305","www.stanford.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","17381","7087","94%","NA","Fall 2012","$17,271","-","243744","00130500"
"Starr King School for the Ministry","2441 Le Conte Avenue, Berkeley, California 94709-1209","www.sksm.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Midsize","No","86","","NA","NA","Fall 2012","NA","-","123916","00408000"
"Stillman College","3601 Stillman Boulevard, Tuscaloosa, Alabama 35401","https://stillman.edu","4-year, Private not-for-profit","Bachelor's degree","City: Midsize","Yes","797","797","29%","6%","Fall 2012","$13,918","-","102270","00104400"
"SUM Bible College and Theological Seminary","1107 Investment Blvd., El Dorado Hills, California 95762","www.sum.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Rural: Fringe","Yes","636","447","36%","23%","Fall 2012","$21,506","-","447953","03752400"
"Talladega College","627 West Battle Street, Talladega, Alabama 35160","www.talladega.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","1212","1208","24%","4%","Fall 2012","$14,754","-","102298","00104600"
"Teachers College of San Joaquin","2857 Transworld Dr., Stockton, California 95206","www.teacherscollegesj.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Postbaccalaureate certificate|Master's degree","City: Large","No","964","643","NA","NA","Fall 2012","NA","-","488800","04224800"
"The Chicago School of Professional Psychology at Irvine","4199 Campus Dr, Irvine, California 92612","www.thechicagoschool.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","290","","NA","NA","Fall 2012","NA","-","455433","02155305"
"The Chicago School of Professional Psychology at Los Angeles","617 W 7th St, Los Angeles, California 90017","www.thechicagoschool.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","2628","147","NA","NA","Fall 2012","NA","-","455664","02155300"
"The Chicago School of Professional Psychology at San Diego","401 W. A Street at 1 Columbia Place, San Diego, California 92101-7903","https://www.thechicagoschool.edu/san-diego/","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Large","No","71","","NA","NA","Fall 2012","NA","-","491190","02155309"
"The Chicago School of Professional Psychology at Washington DC","901 15th St NW, Washington, District of Columbia 20005","www.thechicagoschool.edu","4-year, Private not-for-profit","Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","452","","NA","NA","Fall 2012","NA","-","459745","02155306"
"The Colburn Conservatory of Music","200 S. Grand Avenue, Los Angeles, California 90012","www.colburnschool.edu","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","","","NA","NA","Fall 2012","NA","-","488819",""
"The Master's University and Seminary","21726 Placerita Canyon Road, Santa Clarita, California 91321-1200","www.masters.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","2057","1387","60%","7%","Fall 2012","$27,207","-","117751","00122000"
"The Santa Barbara and Ventura Colleges of Law at Santa Barbara","20 E Victoria St, Santa Barbara, California 93101","www.collegesoflaw.edu","4-year, Private not-for-profit","Doctor's degree - professional practice","City: Small","No","74","","NA","NA","Fall 2012","NA","-","475228","04250101"
"The Santa Barbara and Ventura Colleges of Law at Ventura","4475 Market St, Ventura, California 93003","www.collegesoflaw.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Midsize","No","151","","NA","NA","Fall 2012","NA","-","125037","04250100"
"The University of Alabama","739 University Blvd, Tuscaloosa, Alabama 35487-0166","www.ua.edu/","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","38390","33028","72%","19%","Fall 2012","$20,465","-","100751","00105100"
"The University of America","41707 Winchester  Road, Temecula, California 92590","ua-edu.us","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - other","City: Midsize","No","","","59%","NA","Fall 2012","NA","-","475237",""
"The Wright Institute","2728 Durant Ave, Berkeley, California 94704-1796","www.wi.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree","City: Midsize","No","483","","NA","NA","Fall 2012","NA","-","126012","00884600"
"Thomas Aquinas College","10,000 Ojai Road, Santa Paula, California 93060","https://www.thomasaquinas.edu","4-year, Private not-for-profit","Bachelor's degree","Rural: Distant","Yes","407","407","86%","NA","Fall 2012","$20,746","-","124292","02358000"
"Thomas Jefferson School of Law","1155 Island Avenue, San Diego, California 92101","www.tjsl.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Large","Yes","377","","NA","NA","Fall 2012","NA","-","126049","01085400"
"Touro University California","1310 Club Drive, Vallejo, California 94592","www.tu.edu/","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Midsize","No","1435","","NA","NA","Fall 2012","NA","-","459736","04142600"
"Touro University Worldwide","10601 Calle Lee  #179, Los Alamitos, California 90720","www.tuw.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","1672","509","50%","NA","Fall 2012","$19,045","-","459727","04142500"
"Trinity College","300 Summit St, Hartford, Connecticut 06106-3100","www.trincoll.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","2235","2182","84%","8%","Fall 2012","$24,962","-","130590","00141400"
"Trinity Law School","2200 N Grand Ave, Santa Ana, California 92705","tls.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Large","No","308","","NA","NA","Fall 2012","NA","-","123448","00177212"
"Trinity Washington University","125 Michigan Ave NE, Washington, District of Columbia 20017-1094","www.trinitydc.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","Yes","1782","1390","28%","36%","Fall 2012","$16,786","-","131876","00146000"
"Troy University","University Avenue, Troy, Alabama 36082-0001","www.troy.edu","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Remote","Yes","16981","13452","43%","30%","Fall 2012","$12,114","-","102368","00104700"
"Troy University-Dothan Campus","500 University Drive, Dothan, Alabama 36303-4419","www.troy.edu/dothan/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Rural: Fringe","No","","","NA","NA","Fall 2012","NA","-","10236803","00104754"
"Troy University-Montgomery Campus","231 Montgomery Street, Montgomery, Alabama 36103-4419","www.troy.edu/montgomery/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Midsize","No","","","NA","NA","Fall 2012","NA","-","10236802","00104755"
"Troy University-Online","241 Adams Administration Building, Troy, Alabama 36082-5327","online.troy.edu/index.html","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","Town: Remote","No","","","NA","NA","Fall 2012","NA","-","10236808","00104700"
"Troy University-Phenix City Campus","1 University Place, Phenix City, Alabama 36869-4419","www.troy.edu/phenixcity/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Suburb: Large","No","","","NA","NA","Fall 2012","NA","-","10236801","00104703"
"Troy University-Support Locations","100 University Park, Troy, Alabama 36082-5327","www.troy.edu/servicecenters/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","No","","","NA","NA","Fall 2012","NA","-","10236809","00104700"
"Tuskegee University","Kresge Center, 3rd Floor, Tuskegee, Alabama 36088-1920","www.tuskegee.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Distant","Yes","3026","2529","42%","11%","Fall 2012","$34,743","-","102377","00105000"
"United States Air Force Academy","2304 Cadet Drive, Suite 3800, USAF Academy, Colorado 80840-5002","www.usafa.edu","4-year, Public","Bachelor's degree","Town: Fringe","Yes","4336","4336","NA","NA","Fall 2012","NA","-","128328","00136900"
"United States Coast Guard Academy","15 Mohegan Avenue, New London, Connecticut 06320-4195","https://www.uscga.edu","4-year, Public","Bachelor's degree","City: Small","Yes","1071","1071","84%","16%","Fall 2012","NA","-","130624",""
"United States Sports Academy","One Academy Drive, Daphne, Alabama 36526-7055","www.ussa.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree","City: Small","No","546","305","NA","NA","Fall 2012","NA","-","102395","02170600"
"University of Alabama at Birmingham","Administration Bldg Suite 1070, Birmingham, Alabama 35294-0110","www.uab.edu","4-year, Public","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Midsize","Yes","21923","13836","58%","22%","Fall 2012","$16,636","-","100663","00105200"
"University of Alabama in Huntsville","301 Sparkman Dr, Huntsville, Alabama 35899","www.uah.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","9736","7671","52%","30%","Fall 2012","$15,437","-","100706","00105500"
"University of Alaska Anchorage","3211 Providence Drive, Anchorage, Alaska 99508","www.uaa.alaska.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","Yes","14644","13885","30%","18%","Fall 2012","$13,288","-","102553","01146200"
"University of Alaska Fairbanks","1731 South Chandalar Drive, Fairbanks, Alaska 99775","www.uaf.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Small","Yes","7404","6429","32%","21%","Fall 2012","$10,458","-","102614","00106300"
"University of Alaska Southeast","11066 Auke Lake Way, Juneau, Alaska 99801-8697","www.uas.alaska.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","Yes","2266","2010","36%","24%","Fall 2012","$8,927","-","102632","00106500"
"University of Arizona","1401 E University, Tucson, Arizona 85721-0066","www.arizona.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","44097","34153","64%","19%","Fall 2012","$15,594","-","104179","00108300"
"University of Arizona-South","1140 North Colombo Avenue, Sierra Vista, Arizona 85635","uas.arizona.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Small","No","429","394","NA","NA","Fall 2012","NA","-","487296","00108302"
"University of Arkansas","Administration Bldg 425, Fayetteville, Arkansas 72701","https://www.uark.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","27778","23386","66%","NA","Fall 2012","$15,781","-","106397","00110800"
"University of Arkansas at Little Rock","2801 S University Ave, Little Rock, Arkansas 72204","ualr.edu/www/","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","10515","7715","39%","30%","Fall 2012","$13,256","-","106245","00110100"
"University of Arkansas at Monticello","Highway 425 South, Monticello, Arkansas 71656","www.uamont.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","Yes","3111","2810","26%","NA","Fall 2012","$10,867","-","106485","00108500"
